time,open,high,low,close,tick_volume,pattern_id,retest_time
2026-06-21 11:52:00,14432.387,14432.387,14431.54,14431.54,59,1,2026-06-21 11:00:00
2026-06-21 11:53:00,14431.537,14431.537,14430.788,14430.788,55,1,2026-06-21 11:00:00
2026-06-21 11:54:00,14430.788,14430.788,14429.991,14429.991,57,1,2026-06-21 11:00:00
2026-06-21 11:55:00,14429.978,14429.978,14429.093,14429.093,57,1,2026-06-21 11:00:00
2026-06-21 11:56:00,14429.084,14429.084,14428.348,14428.348,58,1,2026-06-21 11:00:00
2026-06-21 11:57:00,14428.34,14428.34,14427.414,14427.414,59,1,2026-06-21 11:00:00
2026-06-21 11:58:00,14427.394,14427.394,14426.538,14426.538,59,1,2026-06-21 11:00:00
2026-06-21 11:59:00,14426.511,14426.511,14425.611,14425.611,58,1,2026-06-21 11:00:00
2026-06-21 12:00:00,14425.603,14439.373,14425.581,14438.528,60,1,2026-06-21 11:00:00
2026-06-28 19:30:00,14918.616,14918.616,14917.741,14917.741,56,2,2026-06-28 20:00:00
2026-06-28 19:31:00,14917.722,14917.722,14916.873,14916.873,59,2,2026-06-28 20:00:00
2026-06-28 19:32:00,14916.849,14916.849,14915.996,14915.996,60,2,2026-06-28 20:00:00
2026-06-28 19:33:00,14915.984,14915.984,14915.181,14915.181,59,2,2026-06-28 20:00:00
2026-06-28 19:34:00,14915.18,14915.18,14914.283,14914.283,59,2,2026-06-28 20:00:00
2026-06-28 19:35:00,14914.269,14936.694,14913.554,14936.548,59,2,2026-06-28 20:00:00
2026-06-28 19:36:00,14936.511,14936.511,14935.52,14935.52,59,2,2026-06-28 20:00:00
2026-06-28 19:37:00,14935.511,14935.511,14934.736,14934.736,58,2,2026-06-28 20:00:00
2026-06-28 19:38:00,14934.729,14934.729,14933.885,14933.885,57,2,2026-06-28 20:00:00
2026-06-28 19:39:00,14933.859,14933.859,14933.108,14933.108,59,2,2026-06-28 20:00:00
2026-06-28 19:40:00,14933.103,14933.103,14932.147,14932.147,58,2,2026-06-28 20:00:00
2026-06-28 19:41:00,14932.146,14932.146,14931.382,14931.382,60,2,2026-06-28 20:00:00
2026-06-28 19:42:00,14931.362,14931.362,14930.433,14930.433,60,2,2026-06-28 20:00:00
2026-06-28 19:43:00,14930.414,14930.414,14929.465,14929.465,59,2,2026-06-28 20:00:00
2026-06-28 19:44:00,14929.463,14929.463,14928.659,14928.659,55,2,2026-06-28 20:00:00
