time,open,high,low,close,tick_volume
2026-06-20 05:00:00,14323.152,14391.876,14297.829,14380.45,3536
2026-06-20 06:00:00,14380.435,14380.435,14348.642,14371.209,3536
2026-06-20 07:00:00,14371.184,14383.484,14332.734,14332.734,3521
2026-06-20 08:00:00,14332.717,14332.717,14291.955,14302.691,3519
2026-06-20 09:00:00,14302.676,14361.234,14297.412,14353.135,3538
2026-06-20 10:00:00,14353.125,14353.754,14323.038,14344.391,3535
2026-06-20 11:00:00,14344.391,14344.391,14299.292,14299.292,3538
2026-06-20 12:00:00,14299.288,14321.103,14286.945,14307.433,3510
2026-06-20 13:00:00,14307.419,14350.613,14296.467,14330.374,3518
2026-06-20 14:00:00,14330.369,14347.037,14318.223,14340.895,3535
2026-06-20 15:00:00,14340.889,14340.889,14289.676,14289.676,3517
2026-06-20 16:00:00,14289.672,14331.966,14278.816,14319.675,3524
2026-06-20 17:00:00,14319.65,14344.612,14311.385,14322.135,3532
2026-06-20 18:00:00,14322.104,14334.967,14294.292,14314.691,3538
2026-06-20 19:00:00,14314.685,14328.3,14295.525,14309.172,3535
2026-06-20 20:00:00,14309.171,14337.688,14272.6,14329.875,3538
2026-06-20 21:00:00,14329.852,14352.92,14318.045,14327.868,3522
2026-06-20 22:00:00,14327.843,14330.903,14300.359,14300.359,3546
2026-06-20 23:00:00,14300.342,14330.786,14287.524,14309.835,3532
2026-06-21 00:00:00,14309.834,14317.238,14281.812,14281.812,3521
2026-06-21 01:00:00,14281.794,14294.318,14259.37,14270.224,3527
2026-06-21 02:00:00,14270.215,14331.681,14256.175,14326.976,3529
2026-06-21 03:00:00,14326.957,14331.181,14301.475,14322.538,3526
2026-06-21 04:00:00,14322.521,14333.435,14296.42,14325.188,3542
2026-06-21 05:00:00,14325.157,14333.931,14309.643,14322.427,3537
2026-06-21 06:00:00,14322.416,14356.803,14310.129,14328.391,3538
2026-06-21 07:00:00,14328.385,14394.786,14322.63,14361.412,3533
2026-06-21 08:00:00,14361.391,14394.23,14352.168,14374.732,3519
2026-06-21 09:00:00,14374.715,14409.523,14371.041,14387.143,3526
2026-06-21 10:00:00,14387.114,14441.141,14380.647,14414.989,3546
2026-06-21 11:00:00,14414.984,14435.219,14386.974,14425.611,3527
2026-06-21 12:00:00,14425.603,14439.373,14387.703,14387.703,3536
2026-06-21 13:00:00,14387.688,14405.707,14359.725,14401.332,3536
